Case_ID,Timestamp,Event,Flammability_Score
38252,2025-11-08 07:46:07.474855584,Fire_Arrival,0.19
38251,2025-11-08 07:46:16.148477399,Fire_Arrival,0.19
43167,2025-11-08 07:47:03.543751944,Fire_Arrival,0.19
38896,2025-11-08 07:48:48.173838624,Fire_Arrival,0.19
38247,2025-11-08 07:48:49.331659236,Fire_Arrival,0.19
34240,2025-11-08 07:49:09.996235092,Fire_Arrival,0.49
43198,2025-11-08 07:49:12.229877454,Fire_Arrival,0.21
38246,2025-11-08 07:49:26.668829694,Fire_Arrival,0.19
38897,2025-11-08 07:49:30.455888076,Fire_Arrival,0.19
38250,2025-11-08 07:49:30.954598110,Fire_Arrival,0.19
55031,2025-11-08 07:50:14.155397286,Fire_Arrival,0.5
38895,2025-11-08 07:50:20.183267742,Fire_Arrival,0.19
38898,2025-11-08 07:50:36.951513042,Fire_Arrival,0.19
54507,2025-11-08 07:51:30.301202988,Fire_Arrival,0.5
34243,2025-11-08 07:51:46.621520808,Fire_Arrival,0.49
55032,2025-11-08 07:52:42.103572918,Fire_Arrival,0.5
54508,2025-11-08 07:52:59.871296970,Fire_Arrival,0.5
34241,2025-11-08 07:53:01.474119876,Fire_Arrival,0.69
32136,2025-11-08 07:53:38.357635338,Fire_Arrival,0.49
34242,2025-11-08 07:53:41.059222884,Fire_Arrival,0.49
32137,2025-11-08 07:53:43.415277756,Fire_Arrival,0.36
32135,2025-11-08 07:54:16.485104567,Fire_Arrival,0.34
32138,2025-11-08 07:54:18.351531612,Fire_Arrival,0.49
31859,2025-11-08 07:54:41.371653138,Fire_Arrival,0.49
31880,2025-11-08 07:55:02.552163540,Fire_Arrival,0.34
32139,2025-11-08 07:55:06.121342506,Fire_Arrival,0.36
38249,2025-11-08 07:55:13.676748732,Fire_Arrival,0.19
38248,2025-11-08 07:55:15.855001980,Fire_Arrival,0.19
31862,2025-11-08 07:55:17.773620264,Fire_Arrival,0.49
32140,2025-11-08 07:55:46.006549320,Fire_Arrival,0.49
43958,2025-11-08 07:57:10.614391182,Fire_Arrival,0.66
43878,2025-11-08 07:59:02.384661600,Fire_Arrival,0.19
43876,2025-11-08 07:59:13.150173570,Fire_Arrival,0.46
38251,2025-11-08 07:59:16.148477399,Ignition,0.19
43877,2025-11-08 07:59:31.895249405,Fire_Arrival,0.54
38896,2025-11-08 07:59:48.173838624,Ignition,0.19
31861,2025-11-08 08:00:05.867538504,Fire_Arrival,0.49
43879,2025-11-08 08:00:24.090322638,Fire_Arrival,0.19
43950,2025-11-08 08:00:55.985815098,Fire_Arrival,0.49
43277,2025-11-08 08:01:06.810291570,Fire_Arrival,0.34
32200,2025-11-08 08:01:07.223904798,Fire_Arrival,0.49
43875,2025-11-08 08:01:15.646808027,Fire_Arrival,0.54
44685,2025-11-08 08:01:26.881190730,Fire_Arrival,0.34
43951,2025-11-08 08:01:50.582701524,Fire_Arrival,0.46
46511,2025-11-08 08:01:52.876623588,Fire_Arrival,0.66
30034,2025-11-08 08:01:56.905937940,Fire_Arrival,0.49
52956,2025-11-08 08:01:57.554885190,Fire_Arrival,0.5
43981,2025-11-08 08:01:59.722902216,Fire_Arrival,0.34
28781,2025-11-08 08:02:00.649182456,Fire_Arrival,0.66
46519,2025-11-08 08:02:03.118354434,Fire_Arrival,0.44
53031,2025-11-08 08:02:13.759504692,Fire_Arrival,0.5
53256,2025-11-08 08:02:15.308742498,Fire_Arrival,0.5
28782,2025-11-08 08:02:24.327230502,Fire_Arrival,0.46
43980,2025-11-08 08:02:30.798376086,Fire_Arrival,0.54
46510,2025-11-08 08:02:46.402112196,Fire_Arrival,0.46
43880,2025-11-08 08:02:59.422412346,Fire_Arrival,0.34
53120,2025-11-08 08:03:01.321516668,Fire_Arrival,0.5
43983,2025-11-08 08:03:07.695681275,Fire_Arrival,0.34
43278,2025-11-08 08:03:09.701937102,Fire_Arrival,0.34
44686,2025-11-08 08:03:13.789616388,Fire_Arrival,0.34
28783,2025-11-08 08:03:14.713063614,Fire_Arrival,0.66
43982,2025-11-08 08:03:18.864913458,Fire_Arrival,0.34
43550,2025-11-08 08:03:23.173671348,Fire_Arrival,0.61
44687,2025-11-08 08:03:25.358009046,Fire_Arrival,0.19
46375,2025-11-08 08:03:26.405258544,Fire_Arrival,0.34
28780,2025-11-08 08:03:27.897776730,Fire_Arrival,0.46
44694,2025-11-08 08:03:29.634919806,Fire_Arrival,0.49
46520,2025-11-08 08:03:32.380628687,Fire_Arrival,0.66
46509,2025-11-08 08:03:35.533779720,Fire_Arrival,0.66
52955,2025-11-08 08:03:40.607156280,Fire_Arrival,0.5
53118,2025-11-08 08:03:44.681016480,Fire_Arrival,0.5
43549,2025-11-08 08:03:54.499012908,Fire_Arrival,0.49
44695,2025-11-08 08:03:55.756757214,Fire_Arrival,0.46
53123,2025-11-08 08:03:58.879860336,Fire_Arrival,0.5
46521,2025-11-08 08:03:59.057952288,Fire_Arrival,0.46
28784,2025-11-08 08:04:00.890794626,Fire_Arrival,0.46
53090,2025-11-08 08:04:01.439315820,Fire_Arrival,0.5
44775,2025-11-08 08:04:08.492755404,Fire_Arrival,0.19
46508,2025-11-08 08:04:20.294463810,Fire_Arrival,0.66
43886,2025-11-08 08:04:25.561596216,Fire_Arrival,0.34
